layout,gset,dset,pmethod,n_process,time
1,8,8,0,1,121.64
1,8,8,0,2,64.41
1,8,8,0,4,32.06
1,8,8,0,8,18.19
1,8,8,0,16,11.46
1,8,8,0,32,8.1
1,8,8,0,64,6.45
1,8,8,0,128,4.51
1,8,16,1,1,113.5
1,8,16,1,2,59.95
1,8,16,1,4,30.0
1,8,16,1,8,16.54
1,8,16,1,16,9.56
1,8,16,1,32,5.72
1,8,16,1,64,4.38
1,8,16,1,128,2.77
1,8,16,0,1,126.81
1,8,16,0,2,66.78
1,8,16,0,4,33.73
1,8,16,0,8,19.89
1,8,16,0,16,13.76
1,8,16,0,32,10.93
1,8,16,0,64,12.62
1,8,16,0,128,6.58
1,8,32,1,1,111.9
1,8,32,1,2,58.86
1,8,32,1,4,30.36
1,8,32,1,8,16.83
1,8,32,1,16,9.73
1,8,32,1,32,5.99
1,8,32,1,64,3.52
1,8,32,1,128,2.86
1,8,32,0,1,134.52
1,8,32,0,2,73.67
1,8,32,0,4,38.66
1,8,32,0,8,24.02
1,8,32,0,16,18.92
1,8,32,0,32,16.39
1,8,32,0,64,12.54
1,8,32,0,128,11.16
1,16,8,1,1,119.56
1,16,8,1,2,62.31
1,16,8,1,4,31.58
1,16,8,1,8,17.2
1,16,8,1,16,9.46
1,16,8,1,32,5.85
1,16,8,1,64,3.83
1,16,8,1,128,2.85
1,16,8,0,1,133.42
1,16,8,0,2,69.56
1,16,8,0,4,35.62
1,16,8,0,8,20.58
1,16,8,0,16,13.73
1,16,8,0,32,11.08
1,16,8,0,64,7.86
1,16,8,0,128,6.73
1,16,16,1,1,119.05
1,16,16,1,2,62.6
1,16,16,1,4,32.48
1,16,16,1,8,17.43
1,16,16,1,16,9.54
1,16,16,1,32,5.81
1,16,16,1,64,3.83
1,16,16,1,128,2.87
1,16,16,0,1,142.8
1,16,16,0,2,76.65
1,16,16,0,4,39.47
1,16,16,0,8,24.56
1,16,16,0,16,18.63
1,16,16,0,32,16.03
1,16,16,0,64,12.86
1,16,16,0,128,11.03
1,16,32,1,1,118.95
1,16,32,1,2,62.48
1,16,32,1,4,32.16
1,16,32,1,8,17.69
1,16,32,1,16,9.55
1,16,32,1,32,5.88
1,16,32,1,64,3.72
1,16,32,1,128,3.1
1,16,32,0,1,166.63
1,16,32,0,2,92.13
1,16,32,0,4,49.03
1,16,32,0,8,32.95
1,16,32,0,16,28.55
1,16,32,0,32,27.12
1,16,32,0,64,23.14
1,16,32,0,128,20.14
1,32,8,1,1,136.47
1,32,8,1,2,71.94
1,32,8,1,4,37.05
1,32,8,1,8,20.47
1,32,8,1,16,10.91
1,32,8,1,32,6.65
1,32,8,1,64,4.17
1,32,8,1,128,3.22
1,32,8,0,1,160.02
1,32,8,0,2,86.0
1,32,8,0,4,45.44
1,32,8,0,8,27.36
1,32,8,0,16,19.99
1,32,8,0,32,16.92
1,32,8,0,64,13.23
1,32,8,0,128,11.6
1,32,16,1,1,137.52
1,32,16,1,2,71.8
1,32,16,1,4,37.56
1,32,16,1,8,20.52
1,32,16,1,16,10.88
1,32,16,1,32,6.59
1,32,16,1,64,4.36
1,32,16,1,128,3.08
1,32,16,0,1,183.53
1,32,16,0,2,100.82
1,32,16,0,4,53.73
1,32,16,0,8,35.64
1,32,16,0,16,30.06
1,32,16,0,32,28.11
1,32,16,0,64,23.41
1,32,16,0,128,20.37
1,32,32,1,1,137.43
1,32,32,1,2,72.64
1,32,32,1,4,38.04
1,32,32,1,8,20.51
1,32,32,1,16,10.95
1,32,32,1,32,6.82
1,32,32,1,64,4.99
1,32,32,1,128,3.18
1,32,32,0,1,231.08
1,32,32,0,2,131.14
1,32,32,0,4,72.69
1,32,32,0,8,52.28
1,32,32,0,16,50.98
1,32,32,0,32,52.71
1,32,32,0,64,44.15
1,32,32,0,128,38.57
1,64,8,1,1,197.26
1,64,8,1,2,102.89
1,64,8,1,4,53.73
1,64,8,1,8,29.02
1,64,8,1,16,15.22
1,64,8,1,32,8.99
1,64,8,1,64,5.53
1,64,8,1,128,3.64
1,64,8,0,1,245.01
1,64,8,0,2,132.71
1,64,8,0,4,70.35
1,64,8,0,8,43.95
1,64,8,0,16,34.63
1,64,8,0,32,30.57
1,64,8,0,64,24.51
1,64,8,0,128,21.07
1,64,16,1,1,198.56
1,64,16,1,2,102.79
1,64,16,1,4,55.01
1,64,16,1,8,28.9
1,64,16,1,16,15.4
1,64,16,1,32,9.39
1,64,16,1,64,5.91
1,64,16,1,128,4.19
1,64,16,0,1,293.35
1,64,16,0,2,163.33
1,64,16,0,4,88.27
1,64,16,0,8,65.46
1,64,16,0,16,55.1
1,64,16,0,32,54.91
1,64,16,0,64,45.28
1,64,16,0,128,38.95
1,64,32,1,1,198.86
1,64,32,1,2,104.51
1,64,32,1,4,54.69
1,64,32,1,8,28.95
1,64,32,1,16,15.39
1,64,32,1,32,10.24
1,64,32,1,64,7.47
1,64,32,1,128,4.71
1,64,32,0,1,395.93
1,64,32,0,2,231.1
1,64,32,0,4,126.85
1,64,32,0,8,99.53
1,64,32,0,16,103.55
1,64,32,0,32,108.28
1,64,32,0,64,90.37
1,64,32,0,128,80.17
1,128,8,1,1,314.98
1,128,8,1,2,162.05
1,128,8,1,4,84.0
1,128,8,1,8,44.21
1,128,8,1,16,23.25
1,128,8,1,32,13.83
1,128,8,1,64,7.84
1,128,8,1,128,5.67
1,128,8,0,1,409.02
