layout,gset,dset,pmethod,n_process,time
DZG,1,16,bj,64,4.63
DZG,1,16,bj,128,3.23
DZG,1,32,sweep,1,122.56
DZG,1,32,sweep,2,66.59
DZG,1,32,sweep,4,32.40
DZG,1,32,sweep,8,18.53
DZG,1,32,sweep,16,12.24
DZG,1,32,sweep,32,7.62
DZG,1,32,sweep,64,4.45
DZG,1,32,sweep,128,3.40
DZG,1,32,bj,1,125.92
DZG,1,32,bj,2,68.37
DZG,1,32,bj,4,32.84
DZG,1,32,bj,8,19.08
DZG,1,32,bj,16,13.07
DZG,1,32,bj,32,8.41
DZG,1,32,bj,64,5.00
DZG,1,32,bj,128,3.89
DZG,2,8,sweep,1,117.98
DZG,2,8,sweep,2,62.46
DZG,2,8,sweep,4,30.86
DZG,2,8,sweep,8,17.17
DZG,2,8,sweep,16,10.46
DZG,2,8,sweep,32,7.33
DZG,2,8,sweep,64,4.98
DZG,2,8,sweep,128,3.86
DZG,2,8,bj,1,117.94
DZG,2,8,bj,2,62.52
DZG,2,8,bj,4,31.00
DZG,2,8,bj,8,17.14
DZG,2,8,bj,16,15.34
DZG,2,8,bj,32,7.16
DZG,2,8,bj,64,4.55
DZG,2,8,bj,128,3.24
DZG,2,16,sweep,1,118.29
DZG,2,16,sweep,2,62.44
DZG,2,16,sweep,4,30.83
DZG,2,16,sweep,8,17.11
DZG,2,16,sweep,16,10.43
DZG,2,16,sweep,32,7.06
DZG,2,16,sweep,64,4.32
DZG,2,16,sweep,128,3.24
DZG,2,16,bj,1,122.04
DZG,2,16,bj,2,64.63
DZG,2,16,bj,4,32.16
DZG,2,16,bj,8,17.65
DZG,2,16,bj,16,11.12
DZG,2,16,bj,32,7.87
DZG,2,16,bj,64,4.90
DZG,2,16,bj,128,3.94
DZG,2,32,sweep,1,119.16
DZG,2,32,sweep,2,62.73
DZG,2,32,sweep,4,30.90
DZG,2,32,sweep,8,17.18
DZG,2,32,sweep,16,10.51
DZG,2,32,sweep,32,7.52
DZG,2,32,sweep,64,4.20
DZG,2,32,sweep,128,3.41
DZG,2,32,bj,1,125.58
DZG,2,32,bj,2,66.18
DZG,2,32,bj,4,32.71
DZG,2,32,bj,8,18.72
DZG,2,32,bj,16,12.47
DZG,2,32,bj,32,8.90
DZG,2,32,bj,64,5.97
DZG,2,32,bj,128,4.81
DZG,4,8,sweep,1,113.06
DZG,4,8,sweep,2,58.63
DZG,4,8,sweep,4,30.71
DZG,4,8,sweep,8,17.00
DZG,4,8,sweep,16,10.15
DZG,4,8,sweep,32,6.72
DZG,4,8,sweep,64,4.12
DZG,4,8,sweep,128,3.33
DZG,4,8,bj,1,119.06
DZG,4,8,bj,2,60.99
DZG,4,8,bj,4,31.69
DZG,4,8,bj,8,17.48
DZG,4,8,bj,16,10.84
DZG,4,8,bj,32,7.54
DZG,4,8,bj,64,4.69
DZG,4,8,bj,128,3.50
DZG,4,16,sweep,1,114.54
DZG,4,16,sweep,2,59.33
DZG,4,16,sweep,4,30.25
DZG,4,16,sweep,8,16.46
DZG,4,16,sweep,16,9.75
DZG,4,16,sweep,32,6.21
DZG,4,16,sweep,64,3.74
DZG,4,16,sweep,128,3.12
DZG,4,16,bj,1,120.17
DZG,4,16,bj,2,63.46
DZG,4,16,bj,4,31.94
DZG,4,16,bj,8,18.03
DZG,4,16,bj,16,11.64
DZG,4,16,bj,32,8.51
DZG,4,16,bj,64,5.70
DZG,4,16,bj,128,4.50
DZG,4,32,sweep,1,114.41
DZG,4,32,sweep,2,59.22
DZG,4,32,sweep,4,29.71
DZG,4,32,sweep,8,16.22
DZG,4,32,sweep,16,9.59
DZG,4,32,sweep,32,6.24
DZG,4,32,sweep,64,3.82
DZG,4,32,sweep,128,2.69
DZG,4,32,bj,1,128.01
DZG,4,32,bj,2,66.62
DZG,4,32,bj,4,33.84
DZG,4,32,bj,8,19.66
DZG,4,32,bj,16,13.88
DZG,4,32,bj,32,11.32
DZG,4,32,bj,64,7.95
DZG,4,32,bj,128,6.55
DZG,8,8,sweep,1,114.34
DZG,8,8,sweep,2,60.54
DZG,8,8,sweep,4,30.48
DZG,8,8,sweep,8,16.58
DZG,8,8,sweep,16,9.59
DZG,8,8,sweep,32,5.83
DZG,8,8,sweep,64,3.80
DZG,8,8,sweep,128,2.90
DZG,8,8,bj,1,121.64
DZG,8,8,bj,2,64.41
DZG,8,8,bj,4,32.06
DZG,8,8,bj,8,18.19
DZG,8,8,bj,16,11.46
DZG,8,8,bj,32,8.10
DZG,8,8,bj,64,6.45
DZG,8,8,bj,128,4.51
DZG,8,16,sweep,1,113.50
DZG,8,16,sweep,2,59.95
DZG,8,16,sweep,4,30.00
DZG,8,16,sweep,8,16.54
DZG,8,16,sweep,16,9.56
DZG,8,16,sweep,32,5.72
DZG,8,16,sweep,64,4.38
DZG,8,16,sweep,128,2.77
DZG,8,16,bj,1,126.81
DZG,8,16,bj,2,66.78
DZG,8,16,bj,4,33.73
DZG,8,16,bj,8,19.89
DZG,8,16,bj,16,13.76
DZG,8,16,bj,32,10.93
DZG,8,16,bj,64,12.62
DZG,8,16,bj,128,6.58
DZG,8,32,sweep,1,111.90
DZG,8,32,sweep,2,58.86
DZG,8,32,sweep,4,30.36
DZG,8,32,sweep,8,16.83
DZG,8,32,sweep,16,9.73
DZG,8,32,sweep,32,5.99
DZG,8,32,sweep,64,3.52
DZG,8,32,sweep,128,2.86
DZG,8,32,bj,1,134.52
DZG,8,32,bj,2,73.67
DZG,8,32,bj,4,38.66
DZG,8,32,bj,8,24.02
DZG,8,32,bj,16,18.92
DZG,8,32,bj,32,16.39
DZG,8,32,bj,64,12.54
DZG,8,32,bj,128,11.16
DZG,16,8,sweep,1,119.56
DZG,16,8,sweep,2,62.31
DZG,16,8,sweep,4,31.58
DZG,16,8,sweep,8,17.20
DZG,16,8,sweep,16,9.46
DZG,16,8,sweep,32,5.85
DZG,16,8,sweep,64,3.83
DZG,16,8,sweep,128,2.85
DZG,16,8,bj,1,133.42
DZG,16,8,bj,2,69.56
DZG,16,8,bj,4,35.62
DZG,16,8,bj,8,20.58
DZG,16,8,bj,16,13.73
DZG,16,8,bj,32,11.08
DZG,16,8,bj,64,7.86
DZG,16,8,bj,128,6.73
DZG,16,16,sweep,1,119.05
DZG,16,16,sweep,2,62.60
DZG,16,16,sweep,4,32.48
DZG,16,16,sweep,8,17.43
DZG,16,16,sweep,16,9.54
DZG,16,16,sweep,32,5.81
DZG,16,16,sweep,64,3.83
DZG,16,16,sweep,128,2.87
DZG,16,16,bj,1,142.80
DZG,16,16,bj,2,76.65
DZG,16,16,bj,4,39.47
DZG,16,16,bj,8,24.56
DZG,16,16,bj,16,18.63
DZG,16,16,bj,32,16.03
DZG,16,16,bj,64,12.86
DZG,16,16,bj,128,11.03
DZG,16,32,sweep,1,118.95
DZG,16,32,sweep,2,62.48
DZG,16,32,sweep,4,32.16
DZG,16,32,sweep,8,17.69
DZG,16,32,sweep,16,9.55
DZG,16,32,sweep,32,5.88
DZG,16,32,sweep,64,3.72
DZG,16,32,sweep,128,3.10
DZG,16,32,bj,1,166.63
DZG,16,32,bj,2,92.13
DZG,16,32,bj,4,49.03
DZG,16,32,bj,8,32.95
DZG,16,32,bj,16,28.55
DZG,16,32,bj,32,27.12
DZG,16,32,bj,64,23.14
DZG,16,32,bj,128,20.14
DZG,32,8,sweep,1,136.47
DZG,32,8,sweep,2,71.94
DZG,32,8,sweep,4,37.05
DZG,32,8,sweep,8,20.47
DZG,32,8,sweep,16,10.91
DZG,32,8,sweep,32,6.65
DZG,32,8,sweep,64,4.17
DZG,32,8,sweep,128,3.22
DZG,32,8,bj,1,160.02
DZG,32,8,bj,2,86.00
DZG,32,8,bj,4,45.44
DZG,32,8,bj,8,27.36
DZG,32,8,bj,16,19.99
DZG,32,8,bj,32,16.92
DZG,32,8,bj,64,13.23
DZG,32,8,bj,128,11.60
DZG,32,16,sweep,1,137.52
DZG,32,16,sweep,2,71.80
DZG,32,16,sweep,4,37.56
DZG,32,16,sweep,8,20.52
DZG,32,16,sweep,16,10.88
DZG,32,16,sweep,32,6.59
DZG,32,16,sweep,64,4.36
DZG,32,16,sweep,128,3.08
DZG,32,16,bj,1,183.53
DZG,32,16,bj,2,100.82
DZG,32,16,bj,4,53.73
DZG,32,16,bj,8,35.64
DZG,32,16,bj,16,30.06
DZG,32,16,bj,32,28.11
DZG,32,16,bj,64,23.41
DZG,32,16,bj,128,20.37
DZG,32,32,sweep,1,137.43
DZG,32,32,sweep,2,72.64
DZG,32,32,sweep,4,38.04
DZG,32,32,sweep,8,20.51
DZG,32,32,sweep,16,10.95
DZG,32,32,sweep,32,6.82
DZG,32,32,sweep,64,4.99
DZG,32,32,sweep,128,3.18
DZG,32,32,bj,1,231.08
DZG,32,32,bj,2,131.14
DZG,32,32,bj,4,72.69
DZG,32,32,bj,8,52.28
DZG,32,32,bj,16,50.98
DZG,32,32,bj,32,52.71
DZG,32,32,bj,64,44.15
DZG,32,32,bj,128,38.57
DZG,64,8,sweep,1,197.26
DZG,64,8,sweep,2,102.89
DZG,64,8,sweep,4,53.73
DZG,64,8,sweep,8,29.02
DZG,64,8,sweep,16,15.22
DZG,64,8,sweep,32,8.99
DZG,64,8,sweep,64,5.53
DZG,64,8,sweep,128,3.64
DZG,64,8,bj,1,245.01
DZG,64,8,bj,2,132.71
DZG,64,8,bj,4,70.35
DZG,64,8,bj,8,43.95
DZG,64,8,bj,16,34.63
DZG,64,8,bj,32,30.57
DZG,64,8,bj,64,24.51
DZG,64,8,bj,128,21.07
DZG,64,16,sweep,1,198.56
DZG,64,16,sweep,2,102.79
DZG,64,16,sweep,4,55.01
DZG,64,16,sweep,8,28.90
DZG,64,16,sweep,16,15.40
DZG,64,16,sweep,32,9.39
DZG,64,16,sweep,64,5.91
DZG,64,16,sweep,128,4.19
DZG,64,16,bj,1,293.35
DZG,64,16,bj,2,163.33
DZG,64,16,bj,4,88.27
DZG,64,16,bj,8,65.46
DZG,64,16,bj,16,55.10
DZG,64,16,bj,32,54.91
DZG,64,16,bj,64,45.28
DZG,64,16,bj,128,38.95
DZG,64,32,sweep,1,198.86
DZG,64,32,sweep,2,104.51
DZG,64,32,sweep,4,54.69
DZG,64,32,sweep,8,28.95
DZG,64,32,sweep,16,15.39
DZG,64,32,sweep,32,10.24
DZG,64,32,sweep,64,7.47
DZG,64,32,sweep,128,4.71
DZG,64,32,bj,1,395.93
DZG,64,32,bj,2,231.10
DZG,64,32,bj,4,126.85
DZG,64,32,bj,8,99.53
DZG,64,32,bj,16,103.55
DZG,64,32,bj,32,108.28
DZG,64,32,bj,64,90.37
DZG,64,32,bj,128,80.17
DZG,128,8,sweep,1,314.98
DZG,128,8,sweep,2,162.05
DZG,128,8,sweep,4,84.00
DZG,128,8,sweep,8,44.21
DZG,128,8,sweep,16,23.25
DZG,128,8,sweep,32,13.83
DZG,128,8,sweep,64,7.84
DZG,128,8,sweep,128,5.67
DZG,128,8,bj,1,409.02
DZG,128,8,bj,2,221.58
DZG,128,8,bj,4,118.22
DZG,128,8,bj,8,76.33
